,index,speed,time,start_latitude
163,38839,29,2023-09-06T04:30:55.000,41.9526256799
164,38822,25,2023-09-06T04:30:55.000,41.9530473793
165,38674,34,2023-09-06T04:40:01.000,41.9519145079
166,38448,21,2023-09-06T04:40:08.000,41.9544240318
167,38449,23,2023-09-06T04:40:08.000,41.9541531514
168,38450,25,2023-09-06T04:40:08.000,41.9542409021
169,38455,20,2023-09-06T04:40:08.000,41.9540197354
170,38457,19,2023-09-06T04:40:08.000,41.9543511743
171,38461,25,2023-09-06T04:40:08.000,41.9538755379
172,38415,26,2023-09-06T04:40:10.000,41.9530473793
173,38419,35,2023-09-06T04:40:10.000,41.9521088985
174,38421,25,2023-09-06T04:40:10.000,41.9535105845
175,38414,29,2023-09-06T04:40:10.000,41.9532811726
176,38424,29,2023-09-06T04:40:10.000,41.9533921986
177,38426,31,2023-09-06T04:40:10.000,41.9531625184
178,38427,27,2023-09-06T04:40:10.000,41.9524069352
179,38422,26,2023-09-06T04:40:10.000,41.9526256799
180,38175,32,2023-09-06T04:50:19.000,41.9538366862
181,38165,27,2023-09-06T04:50:19.000,41.9536492536
182,38157,26,2023-09-06T04:50:19.000,41.9537825128
183,38077,25,2023-09-06T04:50:23.000,41.9540197354
184,38076,23,2023-09-06T04:50:23.000,41.9541531514
185,38060,29,2023-09-06T04:50:23.000,41.9538755379
186,38023,27,2023-09-06T04:50:25.000,41.9526256799
187,38021,28,2023-09-06T04:50:25.000,41.9535105845
188,38024,31,2023-09-06T04:50:25.000,41.9526056908
189,38040,28,2023-09-06T04:50:25.000,41.9527793008
190,38031,19,2023-09-06T04:50:25.000,41.9531625184
191,38032,20,2023-09-06T04:50:25.000,41.9529189391
192,38038,27,2023-09-06T04:50:25.000,41.9524069352
193,38027,18,2023-09-06T04:50:25.000,41.9530473793
194,37836,29,2023-09-06T05:01:03.000,41.9519145079
195,37656,25,2023-09-06T05:01:12.000,41.9540197354
196,37649,23,2023-09-06T05:01:12.000,41.9543511743
197,37648,21,2023-09-06T05:01:12.000,41.9541531514
198,37643,27,2023-09-06T05:01:12.000,41.9542409021
199,37636,23,2023-09-06T05:01:12.000,41.9544240318
200,37592,22,2023-09-06T05:01:14.000,41.9532811726
201,37594,20,2023-09-06T05:01:14.000,41.9533921986
202,37595,14,2023-09-06T05:01:14.000,41.9531625184
203,37604,21,2023-09-06T05:01:14.000,41.9535105845
204,37602,23,2023-09-06T05:01:14.000,41.9526256799
205,37609,24,2023-09-06T05:01:14.000,41.9524069352
206,37600,28,2023-09-06T05:01:14.000,41.9521088985
207,37282,20,2023-09-06T05:10:20.000,41.9536492536
208,37278,24,2023-09-06T05:10:20.000,41.9537825128
209,37275,27,2023-09-06T05:10:20.000,41.9538366862
210,37140,26,2023-09-06T05:10:29.000,41.9541531514
211,37139,26,2023-09-06T05:10:29.000,41.9538755379
212,37138,27,2023-09-06T05:10:29.000,41.9540197354
213,37089,27,2023-09-06T05:10:32.000,41.9524069352
214,37091,21,2023-09-06T05:10:32.000,41.9535105845
215,37092,23,2023-09-06T05:10:32.000,41.9530473793
216,37098,26,2023-09-06T05:10:32.000,41.9529189391
217,37094,25,2023-09-06T05:10:32.000,41.9527793008
218,37096,20,2023-09-06T05:10:32.000,41.9526056908
219,37093,23,2023-09-06T05:10:32.000,41.9526256799
220,36842,31,2023-09-06T05:20:36.000,41.9519145079
221,36602,22,2023-09-06T05:20:50.000,41.9544240318
222,36616,21,2023-09-06T05:20:50.000,41.9541531514
223,36609,27,2023-09-06T05:20:50.000,41.9542409021
224,36605,22,2023-09-06T05:20:50.000,41.9543511743
225,36575,27,2023-09-06T05:20:52.000,41.9532811726
226,36574,25,2023-09-06T05:20:52.000,41.9530473793
227,36570,25,2023-09-06T05:20:52.000,41.9526256799
228,36569,25,2023-09-06T05:20:52.000,41.9533921986
229,36568,28,2023-09-06T05:20:52.000,41.9524069352
230,36562,35,2023-09-06T05:20:52.000,41.9521088985
231,36557,20,2023-09-06T05:20:52.000,41.9531625184
232,36275,32,2023-09-06T05:30:50.000,41.9519145079
