,index,speed
810,31290,30
811,31289,25
812,31287,23
813,31286,27
814,31292,29
815,31283,25
816,31282,27
817,31281,20
818,31280,22
819,31285,23
820,31284,26
821,31294,25
822,31295,18
823,31293,16
824,31306,27
825,31305,25
826,31303,20
827,31302,23
828,31304,23
829,31300,32
830,31299,24
831,31298,15
832,31297,23
833,31296,26
834,31301,27
835,30529,29
836,30521,24
837,30524,28
838,30525,32
839,30526,25
840,30530,35
841,30533,27
842,30532,24
843,30534,31
844,30535,23
845,30536,25
846,30537,25
847,30531,21
848,30503,15
849,30504,19
850,30505,23
851,30506,20
852,30509,18
853,30507,29
854,30508,28
855,30510,19
856,30516,27
857,30512,29
858,30520,28
859,30519,20
860,30518,32
861,30511,30
862,30515,20
863,30514,25
864,30513,23
865,30517,17
866,29740,28
867,29733,26
868,29734,20
869,29735,10
870,29736,30
871,29737,20
872,29739,29
873,29741,21
874,29743,22
875,29745,23
876,29747,32
877,29748,16
878,29749,25
879,29750,28
880,29753,31
881,29754,20
882,29742,22
883,29722,18
884,29718,21
885,29719,21
886,29720,29
887,29721,19
888,29723,18
889,29729,18
890,29725,27
891,29726,12
892,29727,25
893,29730,26
894,29731,26
895,29732,22
896,29724,27
897,28949,34
898,28951,28
899,28950,14
900,28954,27
901,28956,24
902,28957,23
903,28952,21
904,28927,26
905,28928,27
906,28929,27
907,28930,24
908,28931,20
909,28932,25
910,28933,16
911,28934,28
912,28935,24
913,28936,20
914,28939,29
915,28938,23
916,28937,23
917,28947,19
918,28946,27
919,28945,30
920,28948,25
921,28943,29
922,28942,27
923,28941,26
924,28940,33
925,28944,27
926,28926,29
927,28925,20
928,28924,27
929,28923,27
930,28137,16
931,28134,20
932,28135,29
933,28136,20
934,28138,28
935,28132,29
936,28142,12
937,28143,19
938,28145,30
939,28146,18
940,28147,19
941,28148,27
942,28139,14
943,28111,27
944,28112,17
945,28114,16
946,28115,23
947,28116,20
948,28117,23
949,28118,16
950,28119,24
951,28120,25
952,28122,26
953,28121,21
954,28129,23
955,28128,15
956,28127,25
957,28130,27
958,28125,25
959,28124,25
960,28123,23
961,28126,24
962,27335,25
963,27331,22
964,27326,17
965,27325,21
966,27324,20
967,27323,29
968,27322,25
969,27321,27
970,27319,16
971,27299,29
972,27300,23
973,27301,7
974,27302,21
975,27303,29
976,27304,30
977,27305,20
978,27306,27
979,27307,20
980,27308,20
981,27320,18
982,27310,16
983,27311,24
984,27312,14
985,27313,15
986,27314,14
987,27315,27
988,27316,20
989,27317,16
990,27318,23
991,27309,15
992,27149,22
993,27160,11
994,26485,18
995,26486,26
996,26487,35
997,26488,31
998,26489,28
999,26491,18
1000,26492,24
1001,26495,12
1002,26496,28
1003,26497,14
1004,26490,16
1005,26500,40
1006,26501,20
1007,26502,27
1008,26503,21
1009,26510,20
1010,26504,29
1011,26506,12
1012,26507,14
1013,26508,18
1014,26509,13
1015,26499,23
1016,26473,17
1017,26475,20
1018,26476,28
1019,26477,25
1020,26478,16
1021,26481,31
1022,26482,25
1023,26483,24
1024,26484,10
1025,26480,28
1026,25716,39
1027,25715,35
1028,25713,35
1029,25712,14
1030,25702,24
1031,25697,14
1032,25698,19
1033,25699,23
1034,25700,17
1035,25701,12
1036,25703,11
1037,25707,17
1038,25705,18
1039,25710,16
1040,25709,12
1041,25704,27
1042,25711,27
1043,25706,22
1044,25708,26
1045,25693,12
1046,25692,27
1047,25695,20
1048,25696,27
1049,25694,27
1050,24946,30
1051,24941,30
1052,24944,35
1053,24930,28
1054,24924,27
1055,24925,15
1056,24926,27
1057,24927,26
1058,24928,16
1059,24929,39
1060,24931,22
1061,24933,37
1062,24934,36
1063,24935,35
