,index,speed,time
210,44279,31,2023-09-05T23:01:10.000
211,44277,27,2023-09-05T23:01:10.000
212,44276,35,2023-09-05T23:01:10.000
213,44275,25,2023-09-05T23:01:10.000
214,44274,26,2023-09-05T23:01:10.000
215,44273,18,2023-09-05T23:01:10.000
216,44272,25,2023-09-05T23:01:10.000
217,44278,23,2023-09-05T23:01:10.000
218,43711,27,2023-09-05T23:10:24.000
219,43709,29,2023-09-05T23:10:24.000
220,43712,26,2023-09-05T23:10:24.000
221,43722,29,2023-09-05T23:10:24.000
222,43719,27,2023-09-05T23:10:24.000
223,43721,25,2023-09-05T23:10:24.000
224,43723,27,2023-09-05T23:10:24.000
225,43715,25,2023-09-05T23:10:24.000
226,43695,20,2023-09-05T23:10:25.000
227,43686,18,2023-09-05T23:10:25.000
228,43688,33,2023-09-05T23:10:25.000
229,43689,34,2023-09-05T23:10:25.000
230,43690,23,2023-09-05T23:10:25.000
231,43692,30,2023-09-05T23:10:25.000
232,43693,27,2023-09-05T23:10:25.000
233,43694,26,2023-09-05T23:10:25.000
234,43696,29,2023-09-05T23:10:25.000
235,43705,31,2023-09-05T23:10:25.000
236,43699,27,2023-09-05T23:10:25.000
237,43698,33,2023-09-05T23:10:25.000
238,43707,28,2023-09-05T23:10:25.000
239,43706,37,2023-09-05T23:10:25.000
240,43704,27,2023-09-05T23:10:25.000
241,43708,24,2023-09-05T23:10:25.000
242,43702,38,2023-09-05T23:10:25.000
243,43701,29,2023-09-05T23:10:25.000
244,43700,36,2023-09-05T23:10:25.000
245,43703,29,2023-09-05T23:10:25.000
246,43229,29,2023-09-05T23:20:38.000
247,43220,31,2023-09-05T23:20:38.000
248,43221,31,2023-09-05T23:20:38.000
249,43223,31,2023-09-05T23:20:38.000
250,43224,27,2023-09-05T23:20:38.000
251,43225,29,2023-09-05T23:20:38.000
252,43227,28,2023-09-05T23:20:38.000
253,43231,33,2023-09-05T23:20:38.000
254,43241,25,2023-09-05T23:20:38.000
255,43235,30,2023-09-05T23:20:38.000
256,43246,29,2023-09-05T23:20:38.000
257,43245,25,2023-09-05T23:20:38.000
258,43242,29,2023-09-05T23:20:38.000
259,43234,31,2023-09-05T23:20:38.000
260,43237,30,2023-09-05T23:20:38.000
261,43236,25,2023-09-05T23:20:38.000
262,43247,22,2023-09-05T23:20:38.000
263,42913,27,2023-09-06T01:10:17.000
264,42916,28,2023-09-06T01:10:17.000
265,42917,30,2023-09-06T01:10:17.000
266,42918,27,2023-09-06T01:10:17.000
267,42920,27,2023-09-06T01:10:17.000
268,42919,32,2023-09-06T01:10:17.000
269,42926,10,2023-09-06T01:10:17.000
270,42928,27,2023-09-06T01:10:17.000
271,42930,29,2023-09-06T01:10:17.000
272,42931,29,2023-09-06T01:10:17.000
273,42932,25,2023-09-06T01:10:17.000
274,42934,27,2023-09-06T01:10:17.000
275,42922,30,2023-09-06T01:10:17.000
276,42692,29,2023-09-06T01:20:37.000
277,42661,28,2023-09-06T01:20:38.000
278,42658,29,2023-09-06T01:20:38.000
279,42659,22,2023-09-06T01:20:38.000
280,42660,29,2023-09-06T01:20:38.000
281,42662,23,2023-09-06T01:20:38.000
282,42666,27,2023-09-06T01:20:38.000
283,42668,29,2023-09-06T01:20:38.000
284,42675,25,2023-09-06T01:20:38.000
285,42678,24,2023-09-06T01:20:38.000
286,42680,25,2023-09-06T01:20:38.000
287,42681,23,2023-09-06T01:20:38.000
288,42683,27,2023-09-06T01:20:38.000
289,42667,33,2023-09-06T01:20:38.000
290,42411,28,2023-09-06T01:30:50.000
291,42390,24,2023-09-06T01:30:50.000
292,42391,23,2023-09-06T01:30:50.000
293,42398,27,2023-09-06T01:30:50.000
294,42399,23,2023-09-06T01:30:50.000
295,42420,21,2023-09-06T01:30:50.000
296,42415,23,2023-09-06T01:30:50.000
297,42422,30,2023-09-06T01:30:50.000
298,42428,27,2023-09-06T01:30:50.000
299,42431,30,2023-09-06T01:30:50.000
300,42402,26,2023-09-06T01:30:50.000
301,42163,27,2023-09-06T01:40:02.000
302,42155,30,2023-09-06T01:40:02.000
303,42168,27,2023-09-06T01:40:02.000
304,42144,17,2023-09-06T01:40:02.000
